Hostname,IP address,Software Image,Version,Serial number,Hardware
FW1-AREA-10,192.168.11.1,I86BI_LINUX-ADVENTERPRISEK9-M,15.5(2)T,['2048020'],[]
FW1-AREA-51,51.0.0.1,I86BI_LINUX-ADVENTERPRISEK9-M,15.5(2)T,['2048022'],[]
FW2-AREA-51,51.0.0.2,I86BI_LINUX-ADVENTERPRISEK9-M,15.5(2)T,['2048021'],[]
R1,10.0.0.1,I86BI_LINUX-ADVENTERPRISEK9-M,15.7(3)M2,['2048016'],[]
R2,10.0.0.2,I86BI_LINUX-ADVENTERPRISEK9-M,15.7(3)M2,['2048017'],[]
R3,10.0.0.3,I86BI_LINUX-ADVENTERPRISEK9-M,15.7(3)M2,['2048018'],[]
R4,10.0.0.4,I86BI_LINUX-ADVENTERPRISEK9-M,15.7(3)M2,['2048019'],[]
R5,10.0.10.9,I86BI_LINUX-ADVENTERPRISEK9-M,15.7(3)M2,['2048012'],[]
R6,10.0.10.13,I86BI_LINUX-ADVENTERPRISEK9-M,15.7(3)M2,['2048013'],[]
R7,10.0.10.18,I86BI_LINUX-ADVENTERPRISEK9-M,15.7(3)M2,['2048014'],[]
R8,172.20.20.1,I86BI_LINUX-ADVENTERPRISEK9-M,15.7(3)M2,['2048015'],[]
RL1,192.168.2.1,I86BI_LINUX-ADVENTERPRISEK9-M,15.7(3)M2,['2048009'],[]
RL2,192.168.2.2,I86BI_LINUX-ADVENTERPRISEK9-M,15.7(3)M2,['2048010'],[]
NBI-1,10.1.50.1,I86BI_LINUX-ADVENTERPRISEK9-M,15.7(3)M2,['2048004'],[]
NBI-2,10.1.50.2,I86BI_LINUX-ADVENTERPRISEK9-M,15.7(3)M2,['2048005'],[]
NKR,10.1.52.1,I86BI_LINUX-ADVENTERPRISEK9-M,15.7(3)M2,['2048007'],[]
MSA,10.1.60.1,I86BI_LINUX-ADVENTERPRISEK9-M,15.7(3)M2,['2048006'],[]
MLD,10.1.61.1,I86BI_LINUX-ADVENTERPRISEK9-M,15.7(3)M2,['2048008'],[]
EDGE-1,51.0.0.3,I86BI_LINUX-ADVENTERPRISEK9-M,15.5(2)T,['2048023'],[]
EDGE-2,51.0.0.4,I86BI_LINUX-ADVENTERPRISEK9-M,15.5(2)T,['2048024'],[]
LAN-SW,192.168.2.10,I86BI_LINUXL2-ADVENTERPRISEK9-M,15.2(CML_NIGHTLY_20180510)FLO_DSGS7,['2048011'],[]
